Código;Classificação;Descrição da conta;Saldo Anterior;Débito;Crédito;Saldo Atual
1;1;ATIVO;4.960.556,92D;830.571,04;740.697,62;5.050.430,34D
2;1.1;ATIVO CIRCULANTE;2.228.617,76D;830.571,04;740.393,14;2.318.795,66D
3;1.1.1;DISPONÍVEL;127.887,93D;480.920,65;466.038,83;142.769,75D
4;1.1.10.1;CAIXA;747,08D;0,00;0,01;747,07D
5;1.1.10.100.1;CAIXA GERAL;747,08D;0,00;0,01;747,07D
7;1.1.10.2;BANCOS CONTA MOVIMENTO;70.827,66D;480.862,17;465.868,51;85.821,32D
74521;1.1.10.200.1;BANCO BANRISUL AG 0055 C/C 0603098302;13,50D;150,00;121,50;42,00D
74523;1.1.10.200.1;BANCO DAYCOVAL;248,77D;94.230,35;86.451,49;8.027,63D
74525;1.1.10.200.1;BANCO ITAU AG: 0604 C/C: 99224-8;68.924,86D;326.381,80;318.488,03;76.818,63D
75851;1.1.10.200.1;BANCO VORTX;0,00;60.100,00;60.009,90;90,10D
74500;1.1.10.200.1;BRADESCO AG: 2276 C/C 0034541-5;797,57D;0,02;797,59;0,00
74524;1.1.10.200.1;SICREDI COOP: 0116 C/C 34548;842,96D;0,00;0,00;842,96D
56956;1.1.10.3;BANCOS CONTA DE APLICACAO LIQUIDEZ IMEDIATA;56.313,19D;58,48;170,31;56.201,36D
74527;1.1.10.300.2;APLICACAO BANRISUL;1.345,08D;4,94;151,54;1.198,48D
74526;1.1.10.300.2;APLICACAO BRADESCO;1,28D;0,00;0,02;1,26D
74528;1.1.10.300.2;APLICACAO DE INVESTIMENTOS TITULO DE CAPITALIZACAO;50.000,00D;0,00;0,00;50.000,00D
74529;1.1.10.300.2;BANRISUL VIP INVESTIMENTOS;660,18D;6,14;6,09;660,23D
74548;1.1.10.300.2;ITAU PRIVILEGE RF REF DI;4.306,65D;47,40;12,66;4.341,39D
12;1.1.2;CLIENTES;748.896,68D;306.545,43;262.311,45;793.130,66D
13;1.1.20.1;CLIENTES DIVERSOS;748.896,68D;306.545,43;262.311,45;793.130,66D
74424;1.1.20.100.1;A.R RODRIGUEZ E CIA LTDA;16.682,07D;0,00;0,00;16.682,07D
74425;1.1.20.100.1;ABBOTT DIAGNOSTICOS RAPIDOS S.A;2.467,34D;0,00;0,00;2.467,34D
74426;1.1.20.100.1;ABBOTT LABORATORIOS DO BRASIL LTDA;22.189,80D;0,00;0,00;22.189,80D
74427;1.1.20.100.1;ADICAO ERNESTO DORNELES TICKET 11972;7.099,02D;5.046,49;0,00;12.145,51D
74428;1.1.20.100.1;ANALISES CLINICAS JAGUARI LTDA;381,58D;0,00;0,00;381,58D
74429;1.1.20.100.1;ASSOCIACAO CULTURAL E CIENTIFICA VIRVI RAMOS;8.504,25D;1.672,22;1.672,22;8.504,25D
74430;1.1.20.100.1;ASSOCIACAO DR BARTHOLOMEU TACCHINI;8.427,22D;0,00;0,00;8.427,22D
